1979.1.3.8,"Print, Photographic","Evans, Walker","Kitchen Wall, Alabama, Farmstead, 1936","Evans, Walker Kitchen Wall, Alabama, Farmstead, 1936 Photography, black and white silver prints on Kodak Polycontrast Rapid paper; photos mounted, within plate mark, on hand-made, all-cotton, 300 lb Fabriano classico paper 1936","Medford, Aidekman Art Center, 15 South Campus Rd.",Mr. & Mrs. Nathan Gantcher,1936
1979.1.3.9,"Print, Photographic","Evans, Walker","Portrait of James Agee, 1937","Evans, Walker Portrait of James Agee, 1937 Photography, black and white silver print 1937","Medford, Aidekman Art Center, 15 South Campus Rd.",Mr. & Mrs. Nathan Gantcher,1937
1979.1.3.10,"Print, Photographic","Evans, Walker","Doorway, 204 West 13th Street, New York City, around 1931","Evans, Walker Doorway, 204 West 13th Street, New York City, around 1931 Photography, black and white silver prints on Kodak Polycontrast Rapid paper; photos mounted, within plate mark, on hand-made, all-cotton, 300 lb Fabriano classico paper 1931","Medford, Aidekman Art Center, 15 South Campus Rd.",Mr. & Mrs. Nathan Gantcher,1931
1979.1.3.11,"Print, Photographic","Evans, Walker","Lunchroom Buddies, New York City, 1931","Evans, Walker Lunchroom Buddies, New York City, 1931 Photography, black and white silver prints 1931","Medford, Eaton Hall, 5 The Green",Mr. & Mrs. Nathan Gantcher,1931
1979.1.3.12,"Print, Photographic","Evans, Walker","Stamped Tin Relic, New York, 1930","Evans, Walker Stamped Tin Relic, New York, 1930 Photography, black and white silver print on Kodak Polycontrast Rapid paper; photos mounted, within plate mark, on hand-made, all-cotton, 300 lb Fabriano classico paper 1931","Medford, Aidekman Art Center, 15 South Campus Rd.",Mr. & Mrs. Nathan Gantcher,1931
1979.1.3.13,"Print, Photographic","Evans, Walker","Tin False Front Building, Moundville, Alabama, 1936","Evans, Walker Tin False Front Building, Moundville, Alabama, 1936 Photography, black and white silver prints on Kodak Polycontrast Rapid paper; photos mounted, within plate mark, on hand-made, all-cotton, 300 lb Fabriano classico paper 1936","Medford, Eaton Hall, 5 The Green",Mr. & Mrs. Nathan Gantcher,1936
1979.1.3.14,"Print, Photographic","Evans, Walker","Ruin of Tabby (Shell) Construction, St. Marys, Georgia, 1936","Evans, Walker Ruin of Tabby (Shell) Construction, St. Marys, Georgia, 1936 Photography, black and white silver prints on Kodak Polycontrast Rapid paper; photos mounted, within plate mark, on hand-made, all-cotton, 300 lb Fabriano classico paper 1936","Boston, Medical School, 75 Kneeland St., 9th Floor",Mr. & Mrs. Nathan Gantcher,1936
1979.1.3.15,"Print, Photographic","Evans, Walker","Dock Workers, Havana, 1932","Evans, Walker Dock Workers, Havana, 1932 Photography, black and white silver print on Kodak Polycontrast Rapid paper; photos mounted, within plate mark, on hand-made, all-cotton, 300 lb Fabriano classico paper 1932","Medford, Aidekman Art Center, 15 South Campus Rd.",Mr. & Mrs. Nathan Gantcher,1932
1980.5,Print,"Warhol, Andy",Kimiko Powers,"Warhol, Andy Kimiko Powers Graphic Arts, color silk screen on canvas 1972","Medford, Aidekman Art Center, 15 South Campus Rd.",Gift of Mr. & Mrs. David B. Slater,1972
1980.7.1.1,"Print, Photographic","Bravo, Manuel Alvarez",Parabola Optica,"Bravo, Manuel Alvarez Parabola Optica Photography 1931","Medford, Aidekman Art Center, 15 South Campus Rd.",Gift of Mr. and Mrs. Nathan Gantcher,1931
1980.7.1.2,"Print, Photographic","Bravo, Manuel Alvarez",El Sistema Nervioso del Gran Simpatico (greater sympathetic nervous system),"Bravo, Manuel Alvarez El Sistema Nervioso del Gran Simpatico (greater sympathetic nervous system) Photography 1929","Medford, Aidekman Art Center, 15 South Campus Rd.",Gift of Mr. and Mrs. Nathan Gantcher,1929
